name,item,category,profession,num_result,material_cost_copper,market_value_each_copper,auction_cut_percent,net_revenue_copper,profit_copper,roi_percent,decision
Elixir of Defense,item:3389,Elixirs,Alchemy,1,,,5,,,,
Elixir of Firepower,item:6373,Elixirs,Alchemy,1,,,5,,,,
Elixir of Lion's Strength,item:2454,Elixirs,Alchemy,1,,,5,,,,
Elixir of Minor Accuracy,item:45621,Elixirs,Alchemy,1,,,5,,,,
Elixir of Minor Defense,item:5997,Elixirs,Alchemy,1,,,5,,,,
Elixir of Minor Fortitude,item:2458,Elixirs,Alchemy,1,,,5,,,,
Elixir of Water Breathing,item:5996,Elixirs,Alchemy,1,,,5,,,,
Elixir of Wisdom,item:3383,Elixirs,Alchemy,1,,,5,,,,
Strong Troll's Blood Elixir,item:3388,Elixirs,Alchemy,1,,,5,,,,
Weak Troll's Blood Elixir,item:3382,Elixirs,Alchemy,1,,,5,,,,
Greater Healing Potion,item:1710,Potions/Healing,Alchemy,1,,,5,,,,
Healing Potion,item:929,Potions/Healing,Alchemy,1,,,5,,,,
Lesser Healing Potion,item:858,Potions/Healing,Alchemy,1,,,5,,,,
Minor Healing Potion,item:118,Potions/Healing,Alchemy,1,,,5,,,,
Minor Rejuvenation Potion,item:2456,Potions/Healing,Alchemy,1,,,5,,,,
Lesser Mana Potion,item:3385,Potions/Mana,Alchemy,1,,,5,,,,
Mana Potion,item:3827,Potions/Mana,Alchemy,1,,,5,,,,
Minor Mana Potion,item:2455,Potions/Mana,Alchemy,1,,,5,,,,
Swim Speed Potion,item:6372,Potions/Other,Alchemy,1,,,5,,,,
Lesser Invisibility Potion,item:3823,Potions/PvP Utility,Alchemy,1,,,5,,,,
Swiftness Potion,item:2459,Potions/PvP Utility,Alchemy,1,,,5,,,,
Blackmouth Oil,item:6370,Weapon Buffs/Oils,Alchemy,1,,,5,,,,
Fire Oil,item:6371,Weapon Buffs/Oils,Alchemy,1,,,5,,,,
