family,product_id,product_name,yield_per_craft,material_id,material_name,quantity_per_craft,material_is_custom,material_sources
flask,967444,Distilled Flask of Manifesting Power,3,13465,Mountain Silversage,10,0,"vendor, drop, container, object, quest objective, gathering"
flask,967444,Distilled Flask of Manifesting Power,3,1303765,Spectral Teardrops,5,1,drop
flask,967444,Distilled Flask of Manifesting Power,3,12803,Living Essence,2,0,"drop, quest objective, crafted"
flask,967444,Distilled Flask of Manifesting Power,3,1303738,Blightroot,1,1,"container, gathering"
flask,967447,Distilled Flask of the Warsong,3,13467,Icecap,10,0,"vendor, drop, container, quest objective, gathering"
flask,967447,Distilled Flask of the Warsong,3,1303764,Scarlet Human Scraps,5,1,drop
flask,967447,Distilled Flask of the Warsong,3,7078,Essence of Fire,2,0,"drop, container, quest objective, crafted"
flask,967447,Distilled Flask of the Warsong,3,1303738,Blightroot,1,1,"container, gathering"
flask,967450,Distilled Flask of the Kirin Tor,3,8836,Arthas' Tears,10,0,"drop, container, quest objective, gathering"
flask,967450,Distilled Flask of the Kirin Tor,3,1303765,Spectral Teardrops,5,1,drop
flask,967450,Distilled Flask of the Kirin Tor,3,7080,Essence of Water,2,0,"drop, container, quest objective, crafted"
flask,967450,Distilled Flask of the Kirin Tor,3,1303738,Blightroot,1,1,"container, gathering"
flask,967453,Distilled Flask of Butchery,3,13466,Plaguebloom,10,0,"drop, container, quest objective, gathering"
flask,967453,Distilled Flask of Butchery,3,1303763,Stringy Blubber,5,1,drop
flask,967453,Distilled Flask of Butchery,3,7076,Essence of Earth,2,0,"drop, container, crafted"
flask,967453,Distilled Flask of Butchery,3,1303738,Blightroot,1,1,"container, gathering"
flask,967456,Distilled Flask of the Unyielding,3,13465,Mountain Silversage,10,0,"vendor, drop, container, object, quest objective, gathering"
flask,967456,Distilled Flask of the Unyielding,3,1303763,Stringy Blubber,5,1,drop
flask,967456,Distilled Flask of the Unyielding,3,7076,Essence of Earth,2,0,"drop, container, crafted"
flask,967456,Distilled Flask of the Unyielding,3,1303738,Blightroot,1,1,"container, gathering"
flask,967459,Distilled Flask of Unrelenting Power,3,13464,Golden Sansam,10,0,"vendor, drop, container, object, quest objective, gathering"
flask,967459,Distilled Flask of Unrelenting Power,3,1303763,Stringy Blubber,5,1,drop
flask,967459,Distilled Flask of Unrelenting Power,3,12808,Essence of Undeath,2,0,"drop, crafted"
flask,967459,Distilled Flask of Unrelenting Power,3,1303738,Blightroot,1,1,"container, gathering"
flask,967462,Distilled Flask of Savage Assault,3,8838,Sungrass,10,0,"drop, container, object, quest objective, gathering"
flask,967462,Distilled Flask of Savage Assault,3,1303762,Arkoran Guts,5,1,drop
flask,967462,Distilled Flask of Savage Assault,3,7082,Essence of Air,2,0,"drop, container, quest objective, crafted"
flask,967462,Distilled Flask of Savage Assault,3,1303738,Blightroot,1,1,"container, gathering"
flask,967465,Distilled Flask of Shattering Thunder,3,8838,Sungrass,10,0,"drop, container, object, quest objective, gathering"
flask,967465,Distilled Flask of Shattering Thunder,3,1303762,Arkoran Guts,5,1,drop
flask,967465,Distilled Flask of Shattering Thunder,3,7082,Essence of Air,2,0,"drop, container, quest objective, crafted"
flask,967465,Distilled Flask of Shattering Thunder,3,1303738,Blightroot,1,1,"container, gathering"
flask,967468,Distilled Flask of the Executioner,3,13466,Plaguebloom,10,0,"drop, container, quest objective, gathering"
flask,967468,Distilled Flask of the Executioner,3,1303765,Spectral Teardrops,5,1,drop
flask,967468,Distilled Flask of the Executioner,3,7078,Essence of Fire,2,0,"drop, container, quest objective, crafted"
flask,967468,Distilled Flask of the Executioner,3,1303738,Blightroot,1,1,"container, gathering"
flask,967471,Distilled Flask of Deep Meditation,3,13467,Icecap,10,0,"vendor, drop, container, quest objective, gathering"
flask,967471,Distilled Flask of Deep Meditation,3,1303764,Scarlet Human Scraps,5,1,drop
flask,967471,Distilled Flask of Deep Meditation,3,7080,Essence of Water,2,0,"drop, container, quest objective, crafted"
flask,967471,Distilled Flask of Deep Meditation,3,1303738,Blightroot,1,1,"container, gathering"
flask,967474,Distilled Flask of Adept Striking,3,13463,Dreamfoil,10,0,"vendor, drop, container, object, quest objective, gathering"
flask,967474,Distilled Flask of Adept Striking,3,1303764,Scarlet Human Scraps,5,1,drop
flask,967474,Distilled Flask of Adept Striking,3,12808,Essence of Undeath,2,0,"drop, crafted"
flask,967474,Distilled Flask of Adept Striking,3,1303738,Blightroot,1,1,"container, gathering"
food,967510,Fused Living Soup,10,1303773,Animated Meat Chunks,5,1,drop
food,967510,Fused Living Soup,10,12037,Mystery Meat,2,0,"vendor, drop, container"
food,967510,Fused Living Soup,10,1303747,Raw Savage Flesh,1,1,"drop, container"
food,967513,Fused Charred Steak,10,1303771,Savage Chimaera Chunks,5,1,drop
food,967513,Fused Charred Steak,10,12037,Mystery Meat,2,0,"vendor, drop, container"
food,967513,Fused Charred Steak,10,1303747,Raw Savage Flesh,1,1,"drop, container"
food,967516,Fused Steamed Wontons,10,1303772,Naga Tail Chunks,5,1,drop
food,967516,Fused Steamed Wontons,10,12037,Mystery Meat,2,0,"vendor, drop, container"
food,967516,Fused Steamed Wontons,10,1303747,Raw Savage Flesh,1,1,"drop, container"
food,967519,Fused Air Fried Chops,10,1303774,Silithid Meat Chunks,5,1,drop
food,967519,Fused Air Fried Chops,10,12037,Mystery Meat,2,0,"vendor, drop, container"
food,967519,Fused Air Fried Chops,10,1303747,Raw Savage Flesh,1,1,"drop, container"
food,967522,Fused Rock's Stew,10,1303773,Animated Meat Chunks,5,1,drop
food,967522,Fused Rock's Stew,10,12037,Mystery Meat,2,0,"vendor, drop, container"
