product_id,product_name,family,spell_id,reagent_id,reagent_name,quantity_per_craft,reagent_is_custom,reagent_craftable,reagent_sources
968698,Enchant Weapon - Arcane Artillery,enchant,968698,1303708,Hell Dust,1,1,1,crafted
968698,Enchant Weapon - Arcane Artillery,enchant,968698,1303707,Profane Shard,1,1,1,"crafted, disenchanting"
968698,Enchant Weapon - Arcane Artillery,enchant,968698,14344,Large Brilliant Shard,5,0,0,"container, quest objective, crafted, disenchanting"
968698,Enchant Weapon - Arcane Artillery,enchant,968698,16203,Greater Eternal Essence,15,0,0,"container, quest objective, crafted, disenchanting"
968698,Enchant Weapon - Arcane Artillery,enchant,968698,16204,Illusion Dust,20,0,0,"container, quest objective, disenchanting"
968695,Enchant Weapon - Arcane Dexterity,enchant,968695,1303164,Item 1303164,1,1,0,
968695,Enchant Weapon - Arcane Dexterity,enchant,968695,1303149,Item 1303149,1,1,0,
968695,Enchant Weapon - Arcane Dexterity,enchant,968695,14344,Large Brilliant Shard,1,0,0,"container, quest objective, crafted, disenchanting"
968695,Enchant Weapon - Arcane Dexterity,enchant,968695,16203,Greater Eternal Essence,5,0,0,"container, quest objective, crafted, disenchanting"
968695,Enchant Weapon - Arcane Dexterity,enchant,968695,16204,Illusion Dust,10,0,0,"container, quest objective, disenchanting"
968701,Enchant Weapon - Arcane Precision,enchant,968701,1303160,Item 1303160,1,1,0,
968701,Enchant Weapon - Arcane Precision,enchant,968701,1303149,Item 1303149,1,1,0,
968701,Enchant Weapon - Arcane Precision,enchant,968701,14344,Large Brilliant Shard,1,0,0,"container, quest objective, crafted, disenchanting"
968701,Enchant Weapon - Arcane Precision,enchant,968701,16203,Greater Eternal Essence,5,0,0,"container, quest objective, crafted, disenchanting"
968701,Enchant Weapon - Arcane Precision,enchant,968701,16204,Illusion Dust,10,0,0,"container, quest objective, disenchanting"
968770,Enchant Weapon - Brutal Crusader,enchant,968770,1303709,Animated Bone Dust,1,1,1,crafted
968770,Enchant Weapon - Brutal Crusader,enchant,968770,1303707,Profane Shard,1,1,1,"crafted, disenchanting"
968770,Enchant Weapon - Brutal Crusader,enchant,968770,14344,Large Brilliant Shard,5,0,0,"container, quest objective, crafted, disenchanting"
968770,Enchant Weapon - Brutal Crusader,enchant,968770,16203,Greater Eternal Essence,15,0,0,"container, quest objective, crafted, disenchanting"
968770,Enchant Weapon - Brutal Crusader,enchant,968770,16204,Illusion Dust,20,0,0,"container, quest objective, disenchanting"
968689,Enchant Weapon - Grovewarden's Blessing,enchant,968689,1303710,Essence of Twilight,1,1,1,crafted
968689,Enchant Weapon - Grovewarden's Blessing,enchant,968689,1303707,Profane Shard,1,1,1,"crafted, disenchanting"
968689,Enchant Weapon - Grovewarden's Blessing,enchant,968689,14344,Large Brilliant Shard,5,0,0,"container, quest objective, crafted, disenchanting"
968689,Enchant Weapon - Grovewarden's Blessing,enchant,968689,16203,Greater Eternal Essence,15,0,0,"container, quest objective, crafted, disenchanting"
968689,Enchant Weapon - Grovewarden's Blessing,enchant,968689,16204,Illusion Dust,20,0,0,"container, quest objective, disenchanting"
968680,Enchant Weapon - Lucid Assault,enchant,968680,1303164,Item 1303164,1,1,0,
968680,Enchant Weapon - Lucid Assault,enchant,968680,1303149,Item 1303149,1,1,0,
968680,Enchant Weapon - Lucid Assault,enchant,968680,14344,Large Brilliant Shard,1,0,0,"container, quest objective, crafted, disenchanting"
968680,Enchant Weapon - Lucid Assault,enchant,968680,16203,Greater Eternal Essence,5,0,0,"container, quest objective, crafted, disenchanting"
968680,Enchant Weapon - Lucid Assault,enchant,968680,16204,Illusion Dust,10,0,0,"container, quest objective, disenchanting"
968686,Enchant Weapon - Ninja's Focus,enchant,968686,1303710,Essence of Twilight,1,1,1,crafted
968686,Enchant Weapon - Ninja's Focus,enchant,968686,1303707,Profane Shard,1,1,1,"crafted, disenchanting"
968686,Enchant Weapon - Ninja's Focus,enchant,968686,14344,Large Brilliant Shard,5,0,0,"container, quest objective, crafted, disenchanting"
968686,Enchant Weapon - Ninja's Focus,enchant,968686,16203,Greater Eternal Essence,15,0,0,"container, quest objective, crafted, disenchanting"
968686,Enchant Weapon - Ninja's Focus,enchant,968686,16204,Illusion Dust,20,0,0,"container, quest objective, disenchanting"
968683,Enchant Weapon - Spellbinder's Rage,enchant,968683,1303709,Animated Bone Dust,1,1,1,crafted
968683,Enchant Weapon - Spellbinder's Rage,enchant,968683,1303707,Profane Shard,1,1,1,"crafted, disenchanting"
968683,Enchant Weapon - Spellbinder's Rage,enchant,968683,14344,Large Brilliant Shard,5,0,0,"container, quest objective, crafted, disenchanting"
968683,Enchant Weapon - Spellbinder's Rage,enchant,968683,16203,Greater Eternal Essence,15,0,0,"container, quest objective, crafted, disenchanting"
968683,Enchant Weapon - Spellbinder's Rage,enchant,968683,16204,Illusion Dust,20,0,0,"container, quest objective, disenchanting"
968677,Enchant Weapon - Unstoppable Assault,enchant,968677,1303708,Hell Dust,1,1,1,crafted
968677,Enchant Weapon - Unstoppable Assault,enchant,968677,1303707,Profane Shard,1,1,1,"crafted, disenchanting"
968677,Enchant Weapon - Unstoppable Assault,enchant,968677,14344,Large Brilliant Shard,5,0,0,"container, quest objective, crafted, disenchanting"
968677,Enchant Weapon - Unstoppable Assault,enchant,968677,16203,Greater Eternal Essence,15,0,0,"container, quest objective, crafted, disenchanting"
968677,Enchant Weapon - Unstoppable Assault,enchant,968677,16204,Illusion Dust,20,0,0,"container, quest objective, disenchanting"
968692,Enchant Weapon - Viscious Assault,enchant,968692,1303164,Item 1303164,1,1,0,
968692,Enchant Weapon - Viscious Assault,enchant,968692,1303149,Item 1303149,1,1,0,
968692,Enchant Weapon - Viscious Assault,enchant,968692,14344,Large Brilliant Shard,1,0,0,"container, quest objective, crafted, disenchanting"
968692,Enchant Weapon - Viscious Assault,enchant,968692,16203,Greater Eternal Essence,5,0,0,"container, quest objective, crafted, disenchanting"
968692,Enchant Weapon - Viscious Assault,enchant,968692,16204,Illusion Dust,10,0,0,"container, quest objective, disenchanting"
967474,Distilled Flask of Adept Striking,flask,968433,1303714,Plague Blossom,1,1,1,"object, crafted"
967474,Distilled Flask of Adept Striking,flask,968433,1303711,Blightroot Extract,1,1,1,crafted
967474,Distilled Flask of Adept Striking,flask,968433,13463,Dreamfoil,10,0,0,"vendor, drop, container, object, quest objective, gathering"
967474,Distilled Flask of Adept Striking,flask,968433,12808,Essence of Undeath,2,0,0,"drop, crafted"
967453,Distilled Flask of Butchery,flask,968412,1303713,Fiery Frond,1,1,1,"object, crafted"
967453,Distilled Flask of Butchery,flask,968412,1303711,Blightroot Extract,1,1,1,crafted
967453,Distilled Flask of Butchery,flask,968412,13466,Plaguebloom,10,0,0,"drop, container, quest objective, gathering"
967453,Distilled Flask of Butchery,flask,968412,7076,Essence of Earth,2,0,0,"drop, container, crafted"
967471,Distilled Flask of Deep Meditation,flask,968430,1303714,Plague Blossom,1,1,1,"object, crafted"
967471,Distilled Flask of Deep Meditation,flask,968430,1303711,Blightroot Extract,1,1,1,crafted
967471,Distilled Flask of Deep Meditation,flask,968430,13467,Icecap,10,0,0,"vendor, drop, container, quest objective, gathering"
967471,Distilled Flask of Deep Meditation,flask,968430,7080,Essence of Water,2,0,0,"drop, container, quest objective, crafted"
967444,Distilled Flask of Manifesting Power,flask,968403,1303715,Spectral Rose,1,1,1,"object, crafted"
967444,Distilled Flask of Manifesting Power,flask,968403,1303711,Blightroot Extract,1,1,1,crafted
967444,Distilled Flask of Manifesting Power,flask,968403,13465,Mountain Silversage,10,0,0,"vendor, drop, container, object, quest objective, gathering"
967444,Distilled Flask of Manifesting Power,flask,968403,12803,Living Essence,2,0,0,"drop, quest objective, crafted"
967462,Distilled Flask of Savage Assault,flask,968421,1303712,Storm Brine,1,1,1,"object, crafted"
967462,Distilled Flask of Savage Assault,flask,968421,1303711,Blightroot Extract,1,1,1,crafted
967462,Distilled Flask of Savage Assault,flask,968421,8838,Sungrass,10,0,0,"drop, container, object, quest objective, gathering"
967462,Distilled Flask of Savage Assault,flask,968421,7082,Essence of Air,2,0,0,"drop, container, quest objective, crafted"
967465,Distilled Flask of Shattering Thunder,flask,968424,1303712,Storm Brine,1,1,1,"object, crafted"
967465,Distilled Flask of Shattering Thunder,flask,968424,1303711,Blightroot Extract,1,1,1,crafted
967465,Distilled Flask of Shattering Thunder,flask,968424,8838,Sungrass,10,0,0,"drop, container, object, quest objective, gathering"
967465,Distilled Flask of Shattering Thunder,flask,968424,7082,Essence of Air,2,0,0,"drop, container, quest objective, crafted"
967459,Distilled Flask of Unrelenting Power,flask,968418,1303713,Fiery Frond,1,1,1,"object, crafted"
967459,Distilled Flask of Unrelenting Power,flask,968418,1303711,Blightroot Extract,1,1,1,crafted
967459,Distilled Flask of Unrelenting Power,flask,968418,13464,Golden Sansam,10,0,0,"vendor, drop, container, object, quest objective, gathering"
967459,Distilled Flask of Unrelenting Power,flask,968418,12808,Essence of Undeath,2,0,0,"drop, crafted"
967468,Distilled Flask of the Executioner,flask,968427,1303715,Spectral Rose,1,1,1,"object, crafted"
967468,Distilled Flask of the Executioner,flask,968427,1303711,Blightroot Extract,1,1,1,crafted
967468,Distilled Flask of the Executioner,flask,968427,13466,Plaguebloom,10,0,0,"drop, container, quest objective, gathering"
967468,Distilled Flask of the Executioner,flask,968427,7078,Essence of Fire,2,0,0,"drop, container, quest objective, crafted"
967450,Distilled Flask of the Kirin Tor,flask,968409,1303715,Spectral Rose,1,1,1,"object, crafted"
967450,Distilled Flask of the Kirin Tor,flask,968409,1303711,Blightroot Extract,1,1,1,crafted
967450,Distilled Flask of the Kirin Tor,flask,968409,8836,Arthas' Tears,10,0,0,"drop, container, quest objective, gathering"
967450,Distilled Flask of the Kirin Tor,flask,968409,7080,Essence of Water,2,0,0,"drop, container, quest objective, crafted"
967456,Distilled Flask of the Unyielding,flask,968415,1303713,Fiery Frond,1,1,1,"object, crafted"
