material_id,material_name,total_quantity,is_custom,sources,comment
,# one craft of each of the 62 High Risk recipes,,,,
16204,Illusion Dust,160,0,"container, quest objective, disenchanting",
16203,Greater Eternal Essence,110,0,"container, quest objective, crafted, disenchanting",
1303773,Animated Meat Chunks,45,1,drop,
1303771,Savage Chimaera Chunks,45,1,drop,
1303772,Naga Tail Chunks,40,1,drop,
1303774,Silithid Meat Chunks,40,1,drop,
1303747,Raw Savage Flesh,34,1,"drop, container",
14344,Large Brilliant Shard,34,0,"container, quest objective, crafted, disenchanting",
12037,Mystery Meat,33,0,"vendor, drop, container",
1303734,Echoes of Blood,30,1,"container, disenchanting",
13465,Mountain Silversage,20,0,"vendor, drop, container, object, quest objective, gathering",
13467,Icecap,20,0,"vendor, drop, container, quest objective, gathering",
13466,Plaguebloom,20,0,"drop, container, quest objective, gathering",
8838,Sungrass,20,0,"drop, container, object, quest objective, gathering",
1303765,Spectral Teardrops,15,1,drop,
1303764,Scarlet Human Scraps,15,1,drop,
1303763,Stringy Blubber,15,1,drop,
3712,Turtle Meat,12,0,"drop, container, quest objective",
1303738,Blightroot,11,1,"container, gathering",
8836,Arthas' Tears,10,0,"drop, container, quest objective, gathering",
13464,Golden Sansam,10,0,"vendor, drop, container, object, quest objective, gathering",
12808,Essence of Undeath,10,0,"drop, crafted",
1303762,Arkoran Guts,10,1,drop,
13463,Dreamfoil,10,0,"vendor, drop, container, object, quest objective, gathering",
21024,Chimaerok Tenderloin,10,0,"drop, quest objective",
1303759,Hellish Trinket,10,1,drop,
1303760,Animated Knuckle Bones,10,1,drop,
1303761,Void Trinket,10,1,drop,
12207,Giant Egg,8,0,"drop, container, quest objective",
12184,Raptor Flesh,7,0,"drop, container",
13759,Raw Nightfin Snapper,7,0,"container, quest objective",
1303470,Item 1303470,7,1,,not in database
7080,Essence of Water,6,0,"drop, container, quest objective, crafted",
20424,Sandworm Meat,6,0,"drop, quest objective",
1303476,Item 1303476,6,1,,not in database
12208,Tender Wolf Meat,6,0,"drop, container",
7078,Essence of Fire,5,0,"drop, container, quest objective, crafted",
7082,Essence of Air,5,0,"drop, container, quest objective, crafted",
7076,Essence of Earth,4,0,"drop, container, crafted",
1303149,Item 1303149,4,1,,not in database
1303164,Item 1303164,3,1,,not in database
12803,Living Essence,2,0,"drop, quest objective, crafted",
1303472,Item 1303472,1,1,,not in database
1303160,Item 1303160,1,1,,not in database
