rank,family,product,product_id,profession,yield,unit_sale_price,buy_cost,buy_profit,buy_roi,gather_cost,gather_profit,gather_roi,plan_cost,plan_profit,plan_roi,gathered_materials,missing_prices
1,enchant,Enchant Weapon - Unstoppable Assault,968677,Enchanting,1,1802498,814000,898373,110.4,814000,898373,110.4,814000,898373,110.4,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust; Profane Shard; Echoes of Blood; Hellish Trinket,
2,enchant,Enchant Weapon - Grovewarden's Blessing,968689,Enchanting,1,1380000,691075,619925,89.7,691075,619925,89.7,691075,619925,89.7,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust; Profane Shard; Echoes of Blood; Void Trinket,
3,enchant,Enchant Weapon - Ninja's Focus,968686,Enchanting,1,1340000,691075,581925,84.2,691075,581925,84.2,691075,581925,84.2,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust; Profane Shard; Echoes of Blood; Void Trinket,
4,enchant,Enchant Weapon - Brutal Crusader,968770,Enchanting,1,1290000,700115,525385,75.0,700115,525385,75.0,700115,525385,75.0,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust; Profane Shard; Echoes of Blood; Animated Knuckle Bones,
5,enchant,Enchant Weapon - Arcane Artillery,968698,Enchanting,1,1270000,814000,392500,48.2,814000,392500,48.2,814000,392500,48.2,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust; Profane Shard; Echoes of Blood; Hellish Trinket,
6,enchant,Enchant Weapon - Spellbinder's Rage,968683,Enchanting,1,959500,700115,211410,30.2,700115,211410,30.2,700115,211410,30.2,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust; Profane Shard; Echoes of Blood; Animated Knuckle Bones,
7,flask,Distilled Flask of Unrelenting Power,967459,Alchemy,1,113500,66179,41646,62.9,66179,41646,62.9,66179,41646,62.9,Essence of Undeath; Golden Sansam; Fiery Frond; Blightroot; Stringy Blubber,
8,food,Fused Subtle Soup,967606,Cooking,1,60999,20457,37492,183.3,20457,37492,183.3,20457,37492,183.3,Mystery Meat; Raw Savage Flesh; Silithid Meat Chunks,
9,flask,Distilled Flask of Adept Striking,967474,Alchemy,1,127500,84465,36660,43.4,84465,36660,43.4,84465,36660,43.4,Essence of Undeath; Dreamfoil; Plague Blossom; Blightroot; Scarlet Human Scraps,
10,food,Fused Seared Chops,967543,Cooking,1,51498,27655,21268,76.9,27655,21268,76.9,27655,21268,76.9,Giant Egg; Raw Savage Flesh; Silithid Meat Chunks,
11,food,Fused Subtle Steak,967600,Cooking,1,39397,20457,16970,83.0,20457,16970,83.0,20457,16970,83.0,Mystery Meat; Raw Savage Flesh; Silithid Meat Chunks,
12,food,Fused Subtle Chops,967597,Cooking,1,77999,63662,10437,16.4,63662,10437,16.4,63662,10437,16.4,Mystery Meat; Raw Savage Flesh; Savage Chimaera Chunks,
13,food,Fused Subtle Wontons,967603,Cooking,1,34729,26167,6826,26.1,26167,6826,26.1,26167,6826,26.1,Mystery Meat; Raw Savage Flesh; Naga Tail Chunks,
14,food,Fused Blackened Roast,967624,Cooking,1,72998,63662,5686,8.9,63662,5686,8.9,63662,5686,8.9,Mystery Meat; Raw Savage Flesh; Savage Chimaera Chunks,
15,food,Fused Clear-Cut Chops,967525,Cooking,1,32598,25651,5317,20.7,25651,5317,20.7,25651,5317,20.7,Raptor Flesh; Raw Savage Flesh; Naga Tail Chunks,
16,flask,Distilled Flask of Manifesting Power,967444,Alchemy,1,145993,133560,5133,3.8,133560,5133,3.8,133560,5133,3.8,Living Essence; Mountain Silversage; Spectral Rose; Blightroot; Spectral Teardrops,
17,food,Fused Hearty Air Fried Chops,967585,Cooking,1,19600,20397,-1777,-8.7,20397,-1777,-8.7,20397,-1777,-8.7,Tender Wolf Meat; Raw Savage Flesh; Silithid Meat Chunks,
18,food,Fused Hearty Charred Steak,967588,Cooking,1,27198,27953,-2115,-7.6,27953,-2115,-7.6,27953,-2115,-7.6,Raw Nightfin Snapper; Raw Savage Flesh; Naga Tail Chunks,
19,food,Fused Bold Duck Stew,967630,Cooking,1,26797,27822,-2365,-8.5,27822,-2365,-8.5,27822,-2365,-8.5,Turtle Meat; Raw Savage Flesh; Animated Meat Chunks,
20,food,Fused Duck Stew,967564,Cooking,1,24798,26167,-2609,-10.0,26167,-2609,-10.0,26167,-2609,-10.0,Mystery Meat; Raw Savage Flesh; Naga Tail Chunks,
21,food,Fused Wizard Wontons,967573,Cooking,1,25200,26727,-2787,-10.4,26727,-2787,-10.4,26727,-2787,-10.4,Turtle Meat; Raw Savage Flesh; Naga Tail Chunks,
22,food,Fused Chunky Stew,967567,Cooking,1,14656,19941,-6018,-30.2,19941,-6018,-30.2,19941,-6018,-30.2,Raptor Flesh; Raw Savage Flesh; Silithid Meat Chunks,
23,food,Fused Air Fried Chops,967519,Cooking,1,14199,20457,-6968,-34.1,20457,-6968,-34.1,20457,-6968,-34.1,Mystery Meat; Raw Savage Flesh; Silithid Meat Chunks,
24,food,Fused Mana Imbued Roast,967612,Cooking,1,19808,26167,-7349,-28.1,26167,-7349,-28.1,26167,-7349,-28.1,Mystery Meat; Raw Savage Flesh; Naga Tail Chunks,
25,food,Fused Bold Simmered Stew,967627,Cooking,1,12027,20397,-8971,-44.0,20397,-8971,-44.0,20397,-8971,-44.0,Tender Wolf Meat; Raw Savage Flesh; Silithid Meat Chunks,
26,food,Fused Living Soup,967510,Cooking,1,18198,27262,-9974,-36.6,27262,-9974,-36.6,27262,-9974,-36.6,Mystery Meat; Raw Savage Flesh; Animated Meat Chunks,
27,food,Fused Simmered Stew,967570,Cooking,1,17597,27202,-10485,-38.5,27202,-10485,-38.5,27202,-10485,-38.5,Tender Wolf Meat; Raw Savage Flesh; Animated Meat Chunks,
28,food,Fused Wizard Soup,967576,Cooking,1,23798,34460,-11852,-34.4,34460,-11852,-34.4,34460,-11852,-34.4,Giant Egg; Raw Savage Flesh; Animated Meat Chunks,
29,food,Fused Steamed Wontons,967516,Cooking,1,14598,26167,-12299,-47.0,26167,-12299,-47.0,26167,-12299,-47.0,Mystery Meat; Raw Savage Flesh; Naga Tail Chunks,
30,food,Fused Hearty Living Soup,967582,Cooking,1,59498,70860,-14337,-20.2,70860,-14337,-20.2,70860,-14337,-20.2,Giant Egg; Raw Savage Flesh; Savage Chimaera Chunks,
31,food,Fused Sizzling Roast,967615,Cooking,1,13508,27262,-14429,-52.9,27262,-14429,-52.9,27262,-14429,-52.9,Mystery Meat; Raw Savage Flesh; Animated Meat Chunks,
32,food,Fused Rock's Stew,967522,Cooking,1,12799,27262,-15103,-55.4,27262,-15103,-55.4,27262,-15103,-55.4,Mystery Meat; Raw Savage Flesh; Animated Meat Chunks,
33,food,Fused Clear-Cut Steak,967531,Cooking,1,19999,34460,-15461,-44.9,34460,-15461,-44.9,34460,-15461,-44.9,Giant Egg; Raw Savage Flesh; Animated Meat Chunks,
34,food,Fused Hearty Steamed Wontons,967591,Cooking,1,12946,27822,-15523,-55.8,27822,-15523,-55.8,27822,-15523,-55.8,Turtle Meat; Raw Savage Flesh; Animated Meat Chunks,
35,food,Fused Bold Stew,967609,Cooking,1,68500,81400,-16325,-20.1,81400,-16325,-20.1,81400,-16325,-20.1,Sandworm Meat; Raw Savage Flesh; Savage Chimaera Chunks,
36,food,Fused Seared Wontons,967540,Cooking,1,63759,76917,-16346,-21.3,76917,-16346,-21.3,76917,-16346,-21.3,Chimaerok Tenderloin; Raw Savage Flesh; Silithid Meat Chunks,
37,food,Fused Winter Roast,967621,Cooking,1,11251,27262,-16574,-60.8,27262,-16574,-60.8,27262,-16574,-60.8,Mystery Meat; Raw Savage Flesh; Animated Meat Chunks,
38,food,Fused Wild Roast,967618,Cooking,1,41399,63662,-24333,-38.2,63662,-24333,-38.2,63662,-24333,-38.2,Mystery Meat; Raw Savage Flesh; Savage Chimaera Chunks,
39,food,Fused Clear-Cut Wontons,967528,Cooking,1,38799,65448,-28589,-43.7,65448,-28589,-43.7,65448,-28589,-43.7,Raw Nightfin Snapper; Raw Savage Flesh; Savage Chimaera Chunks,
40,food,Fused Piercing Steak,967537,Cooking,1,14343,43905,-30279,-69.0,43905,-30279,-69.0,43905,-30279,-69.0,Sandworm Meat; Raw Savage Flesh; Naga Tail Chunks,
41,food,Fused Charred Steak,967513,Cooking,1,29699,63662,-35448,-55.7,63662,-35448,-55.7,63662,-35448,-55.7,Mystery Meat; Raw Savage Flesh; Savage Chimaera Chunks,
42,food,Fused Piercing Chops,967534,Cooking,1,88678,120122,-35878,-29.9,120122,-35878,-29.9,120122,-35878,-29.9,Chimaerok Tenderloin; Raw Savage Flesh; Savage Chimaera Chunks,
43,food,Fused Red-Hot Stew,967558,Cooking,1,47599,81400,-36181,-44.4,81400,-36181,-44.4,81400,-36181,-44.4,Sandworm Meat; Raw Savage Flesh; Savage Chimaera Chunks,
44,flask,Distilled Flask of Deep Meditation,967471,Alchemy,1,326997,394693,-84046,-21.3,394693,-84046,-21.3,394693,-84046,-21.3,Essence of Water; Icecap; Plague Blossom; Blightroot; Scarlet Human Scraps,
45,flask,Distilled Flask of the Executioner,967468,Alchemy,1,358000,478370,-138270,-28.9,478370,-138270,-28.9,478370,-138270,-28.9,Essence of Fire; Plaguebloom; Spectral Rose; Blightroot; Spectral Teardrops,
46,flask,Distilled Flask of the Kirin Tor,967450,Alchemy,1,244000,421708,-189908,-45.0,421708,-189908,-45.0,421708,-189908,-45.0,Essence of Water; Arthas' Tears; Spectral Rose; Blightroot; Spectral Teardrops,
47,flask,Distilled Flask of Savage Assault,967462,Alchemy,1,378000,552775,-193675,-35.0,552775,-193675,-35.0,552775,-193675,-35.0,Essence of Air; Sungrass; Storm Brine; Blightroot; Arkoran Guts,
48,flask,Distilled Flask of the Warsong,967447,Alchemy,1,244000,430695,-198895,-46.2,430695,-198895,-46.2,430695,-198895,-46.2,Essence of Fire; Icecap; Plague Blossom; Blightroot; Scarlet Human Scraps,
49,flask,Distilled Flask of Shattering Thunder,967465,Alchemy,1,347000,552775,-223125,-40.4,552775,-223125,-40.4,552775,-223125,-40.4,Essence of Air; Sungrass; Storm Brine; Blightroot; Arkoran Guts,
50,flask,Distilled Flask of Butchery,967453,Alchemy,1,356000,691135,-352935,-51.1,691135,-352935,-51.1,691135,-352935,-51.1,Essence of Earth; Plaguebloom; Fiery Frond; Blightroot; Stringy Blubber,
51,flask,Distilled Flask of the Unyielding,967456,Alchemy,1,327000,695925,-385275,-55.4,695925,-385275,-55.4,695925,-385275,-55.4,Essence of Earth; Mountain Silversage; Fiery Frond; Blightroot; Stringy Blubber,
52,enchant,Enchant Weapon - Arcane Dexterity,968695,Enchanting,1,,,,,,,,,,,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust,Item 1303149; Item 1303164
53,enchant,Enchant Weapon - Arcane Precision,968701,Enchanting,1,,,,,,,,,,,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust,Item 1303149; Item 1303160
54,enchant,Enchant Weapon - Lucid Assault,968680,Enchanting,1,,,,,,,,,,,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust,Item 1303149; Item 1303164
55,enchant,Enchant Weapon - Viscious Assault,968692,Enchanting,1,,,,,,,,,,,Large Brilliant Shard; Greater Eternal Essence; Illusion Dust,Item 1303149; Item 1303164
56,food,Fused Blazing Stew,967561,Cooking,1,,,,,,,,,,,Essence of Fire; Raptor Flesh,Item 1303470; Item 1303476
57,food,Fused Heightened Wontons,967579,Cooking,1,,,,,,,,,,,Turtle Meat; Essence of Water,Item 1303470; Item 1303472
58,food,Fused Savory Chops,967549,Cooking,1,,,,,,,,,,,Essence of Undeath; Chimaerok Tenderloin,Item 1303470; Item 1303476
59,food,Fused Savory Steak,967552,Cooking,1,,,,,,,,,,,Essence of Undeath; Chimaerok Tenderloin,Item 1303470; Item 1303476
60,food,Fused Savory Stew,967546,Cooking,1,,,,,,,,,,,Mystery Meat; Essence of Undeath,Item 1303470; Item 1303476
61,food,Fused Savory Wontons,967555,Cooking,1,,,,,,,,,,,Turtle Meat; Essence of Water,Item 1303470; Item 1303476
62,food,Fused Vibrant Chops,967594,Cooking,1,,,,,,,,,,,Essence of Air; Raw Nightfin Snapper,Item 1303470; Item 1303476
